,aqua_label,terra_label,aqua_area,terra_area,joint_area,iou,r_aqua,c_aqua,r_terra,c_terra,drows,dcols,case_number,method
1,3,1,1024,1016,815,0.6653061224489796,32.390625,59.1318359375,37.624015748031496,60.59055118110236,-5.233390748031496,-1.458715243602363,112,high_iou
3,4,2,48,53,22,0.27848101265822783,19.9375,122.9375,23.830188679245282,124.86792452830188,-3.892688679245282,-1.9304245283018844,112,low_iou_manual
4,5,4,260,279,174,0.4767123287671233,30.50769230769231,85.97692307692307,35.4336917562724,88.17562724014337,-4.925999448580093,-2.198704163220299,112,low_iou_manual
7,7,6,158,159,97,0.4409090909090909,45.27215189873418,111.82278481012658,50.138364779874216,113.61006289308176,-4.8662128811400365,-1.7872780829551829,112,low_iou_manual
11,10,9,152,170,72,0.288,65.77631578947368,125.92105263157895,72.27058823529411,127.78823529411764,-6.494272445820428,-1.8671826625386956,112,low_iou_manual
13,12,8,90,206,73,0.3273542600896861,70.53333333333333,93.58888888888889,72.29611650485437,95.53398058252426,-1.7627831715210363,-1.9450916936353764,112,low_iou_manual
14,13,10,1070,1069,837,0.6428571428571429,94.20280373831775,52.169158878504675,99.05238540692235,53.885874649204865,-4.8495816686046,-1.7167157707001905,112,high_iou
15,14,11,350,323,198,0.4168421052631579,86.89142857142858,107.02,93.08978328173374,109.11764705882354,-6.198354710305168,-2.09764705882354,112,low_iou_manual
16,15,13,212,211,146,0.5270758122743683,97.74528301886792,18.12264150943396,101.95260663507109,19.620853080568722,-4.207323616203169,-1.4982115711347603,112,high_iou
17,16,12,58,46,27,0.35064935064935066,93.24137931034483,31.517241379310345,97.17391304347827,32.78260869565217,-3.9325337331334396,-1.2653673163418269,112,low_iou_manual
19,17,15,257,245,145,0.4061624649859944,109.3579766536965,106.70817120622569,115.83673469387755,108.49795918367347,-6.478758040181049,-1.7897879774477872,112,low_iou_manual
20,18,14,822,826,586,0.551789077212806,120.95985401459853,75.12408759124088,125.20217917675545,78.54479418886199,-4.2423251621569165,-3.4207065976211055,112,high_iou
22,19,16,476,449,329,0.552013422818792,120.69957983193277,122.03151260504201,126.5011135857461,123.21826280623608,-5.801533753813331,-1.186750201194073,112,high_iou
24,20,17,126,154,82,0.41414141414141414,114.72222222222223,20.071428571428573,119.22077922077922,19.40909090909091,-4.498556998556992,0.6623376623376629,112,low_iou_manual
25,22,18,190,194,109,0.39636363636363636,135.32631578947368,96.46842105263158,141.1237113402062,97.87113402061856,-5.797395550732517,-1.4027129679869716,112,low_iou_manual
26,23,19,785,716,574,0.6192017259978425,143.49426751592355,30.05732484076433,147.4650837988827,32.107541899441344,-3.9708162829591345,-2.0502170586770134,112,high_iou
28,25,20,1003,1033,839,0.7009189640768588,167.74975074775674,98.54536390827518,173.16844143272024,98.05227492739593,-5.418690684963508,0.49308898087925,112,high_iou
30,26,21,62,66,26,0.2549019607843137,158.25806451612902,47.03225806451613,163.04545454545453,47.65151515151515,-4.787390029325508,-0.6192570869990206,112,low_iou_manual
