,aqua_label,terra_label,aqua_area,terra_area,joint_area,iou,r_aqua,c_aqua,r_terra,c_terra,drows,dcols,case_number,method
31,27,23,683,574,386,0.4431687715269805,172.63689604685212,138.29721815519767,181.37282229965157,139.35714285714286,-8.735926252799459,-1.0599247019451923,112,low_iou_manual
32,28,22,211,209,138,0.48936170212765956,168.0568720379147,69.36018957345972,172.20095693779905,69.45454545454545,-4.144084899884348,-0.09435588108573256,112,low_iou_manual
33,29,25,94,86,50,0.38461538461538464,175.46808510638297,30.914893617021278,178.65116279069767,29.988372093023255,-3.1830776843146964,0.9265215239980229,112,low_iou_manual
35,30,26,169,171,92,0.3709677419354839,184.65680473372782,69.71005917159763,189.30994152046785,69.36842105263158,-4.653136786740021,0.3416381189660598,112,low_iou_manual
37,31,27,397,402,316,0.6542443064182195,193.83123425692696,43.496221662468514,197.62437810945275,44.02985074626866,-3.7931438525257875,-0.5336290838001432,112,high_iou
38,33,28,127,109,72,0.43902439024390244,190.81102362204723,25.73228346456693,194.5321100917431,25.412844036697248,-3.7210864696958765,0.31943942786968194,112,low_iou_manual
39,36,29,119,114,54,0.3016759776536313,198.98319327731093,81.70588235294117,204.24561403508773,82.98245614035088,-5.262420757776795,-1.2765737874097027,112,low_iou_manual
42,38,32,342,273,124,0.2525458248472505,207.2485380116959,119.31871345029239,214.8864468864469,117.74358974358974,-7.637908874750991,1.5751237067026551,112,low_iou_manual
43,39,31,447,403,325,0.6190476190476191,211.78299776286354,65.59731543624162,216.27047146401986,66.14888337468983,-4.487473701156318,-0.5515679384482155,112,high_iou
46,41,33,111,121,74,0.46835443037974683,223.76576576576576,23.92792792792793,227.36363636363637,25.446280991735538,-3.5978705978706103,-1.5183530638076093,112,low_iou_manual
47,43,35,43,54,19,0.24358974358974358,225.11627906976744,35.76744186046512,228.94444444444446,36.98148148148148,-3.8281653746770132,-1.2140396210163615,112,low_iou_manual
48,44,36,351,317,224,0.5045045045045045,240.01709401709402,75.17663817663818,244.69400630914828,76.53943217665615,-4.676912292054254,-1.3627940000179706,112,high_iou
49,45,37,486,455,330,0.5400981996726678,246.7201646090535,107.88888888888889,252.210989010989,108.38241758241759,-5.490824401935498,-0.49352869352870243,112,high_iou
52,48,38,4761,4642,4299,0.8422805642633229,281.90254148288176,60.02352446964923,286.4047824213701,61.75764756570444,-4.502240938488342,-1.7341230960552068,112,high_iou
53,49,39,353,373,274,0.6061946902654868,272.4164305949009,139.55524079320114,276.7747989276139,139.6514745308311,-4.358368332713042,-0.09623373762997289,112,high_iou
55,51,40,158,173,105,0.4646017699115044,302.7151898734177,31.696202531645568,306.3872832369942,31.6878612716763,-3.6720933635764936,0.008341259969267156,112,low_iou_manual
56,52,41,147,193,110,0.4782608695652174,313.5646258503401,12.244897959183673,316.8341968911917,13.507772020725389,-3.269571040851588,-1.2628740615417158,112,low_iou_manual
57,54,42,188,74,47,0.2186046511627907,331.968085106383,58.5,338.77027027027026,59.270270270270274,-6.802185163887259,-0.7702702702702737,112,low_iou_manual
58,55,43,121,75,45,0.2980132450331126,339.8181818181818,42.93388429752066,342.62666666666667,45.32,-2.808484848484852,-2.386115702479337,112,low_iou_manual
59,57,44,110,99,66,0.46153846153846156,343.92727272727274,82.33636363636364,348.050505050505,81.35353535353535,-4.123232323232287,0.9828282828282937,112,low_iou_manual
61,58,45,52,51,18,0.21176470588235294,344.9423076923077,51.55769230769231,348.6470588235294,53.254901960784316,-3.7047511312217125,-1.6972096530920098,112,low_iou_manual
62,59,46,335,356,240,0.532150776053215,351.33432835820895,17.355223880597016,356.0477528089888,18.553370786516854,-4.713424450779826,-1.1981469059198382,112,high_iou
65,62,49,53,72,23,0.22549019607843138,353.58490566037733,38.320754716981135,357.8888888888889,38.97222222222222,-4.3039832285115835,-0.6514675052410865,112,low_iou_manual
