fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate,sea_ice_fraction,mean_sea_ice_concentration
027-barents_kara_seas-100km-2013-04-22,27,barents_kara_seas,100km,1412500.0,1512500.0,-137500.0,-37500.0,1462500.0,-87500.0,76.53492076460785,41.57612875506932,2013-04-22,2013-04-23,,
028-barents_kara_seas-100km-2018-08-19,28,barents_kara_seas,100km,712500.0,812500.0,-62500.0,37500.0,762500.0,-12500.0,82.96868291656112,44.060809054264425,2018-08-19,2018-08-20,,
029-barents_kara_seas-100km-2014-07-08,29,barents_kara_seas,100km,1012500.0,1112500.0,37500.0,137500.0,1062500.0,87500.0,80.18168529276582,49.707852244372226,2014-07-08,2014-07-09,,
030-barents_kara_seas-100km-2011-05-10,30,barents_kara_seas,100km,1312500.0,1412500.0,162500.0,262500.0,1362500.0,212500.0,77.32023765750544,53.86462338841079,2011-05-10,2011-05-11,,
031-barents_kara_seas-100km-2015-04-28,31,barents_kara_seas,100km,2137500.0,2237500.0,312500.0,412500.0,2187500.0,362500.0,69.73653112317245,54.40922140811018,2015-04-28,2015-04-29,,
032-barents_kara_seas-100km-2014-05-01,32,barents_kara_seas,100km,1312500.0,1412500.0,337500.0,437500.0,1362500.0,387500.0,76.97767857802384,60.87594650522258,2014-05-01,2014-05-02,,
033-barents_kara_seas-100km-2011-06-01,33,barents_kara_seas,100km,1762500.0,1862500.0,512500.0,612500.0,1812500.0,562500.0,72.61040758093598,62.24145939893998,2011-06-01,2011-06-02,,
034-barents_kara_seas-100km-2020-07-10,34,barents_kara_seas,100km,712500.0,812500.0,187500.0,287500.0,762500.0,237500.0,82.63734511901114,62.300527191945015,2020-07-10,2020-07-11,,
035-barents_kara_seas-100km-2011-08-05,35,barents_kara_seas,100km,987500.0,1087500.0,287500.0,387500.0,1037500.0,337500.0,79.95331911853829,63.019769281777144,2011-08-05,2011-08-06,,
036-barents_kara_seas-100km-2020-07-01,36,barents_kara_seas,100km,1012500.0,1112500.0,312500.0,412500.0,1062500.0,362500.0,79.66361897791533,63.83843355798077,2020-07-01,2020-07-02,,
037-barents_kara_seas-100km-2007-03-26,37,barents_kara_seas,100km,862500.0,962500.0,312500.0,412500.0,912500.0,362500.0,80.9541875006627,66.66595872329023,2007-03-26,2007-03-27,,
038-barents_kara_seas-100km-2014-08-02,38,barents_kara_seas,100km,837500.0,937500.0,787500.0,887500.0,887500.0,837500.0,78.769967,88.339718,2014-08-02,2014-08-03,1.0,0.752
039-barents_kara_seas-100km-2017-05-26,39,barents_kara_seas,100km,1237500.0,1337500.0,537500.0,637500.0,1287500.0,587500.0,76.98975249282752,69.52772048025808,2017-05-26,2017-05-27,,
040-barents_kara_seas-100km-2007-09-12,40,barents_kara_seas,100km,762500.0,862500.0,-562500.0,-462500.0,812500.0,-512500.0,81.149074,12.757532,2007-09-12,2007-09-13,0.6,0.696
041-barents_kara_seas-100km-2015-06-18,41,barents_kara_seas,100km,1512500.0,1612500.0,987500.0,1087500.0,1562500.0,1037500.0,72.81084777526554,78.58416047559298,2015-06-18,2015-06-19,,
042-barents_kara_seas-100km-2021-09-10,42,barents_kara_seas,100km,737500.0,837500.0,587500.0,687500.0,787500.0,637500.0,80.66677751714646,83.99099404250548,2021-09-10,2021-09-11,,
043-beaufort_sea-100km-2019-08-13,43,beaufort_sea,100km,-1062500.0,-962500.0,312500.0,412500.0,-1012500.0,362500.0,80.09608480698053,-154.6986213745803,2019-08-13,2019-08-14,,
044-beaufort_sea-100km-2020-08-08,44,beaufort_sea,100km,-1662500.0,-1562500.0,387500.0,487500.0,-1612500.0,437500.0,74.66490739686482,-150.17992743452623,2020-08-08,2020-08-09,,
045-beaufort_sea-100km-2017-09-25,45,beaufort_sea,100km,-1287500.0,-1187500.0,237500.0,337500.0,-1237500.0,287500.0,78.31111945065037,-148.07912378006682,2017-09-25,2017-09-26,,
046-beaufort_sea-100km-2020-07-08,46,beaufort_sea,100km,-2212500.0,-2112500.0,237500.0,337500.0,-2162500.0,287500.0,70.05737285048592,-142.5729486405434,2020-07-08,2020-07-09,,
047-beaufort_sea-100km-2022-03-02,47,beaufort_sea,100km,-2187500.0,-2087500.0,187500.0,287500.0,-2137500.0,237500.0,70.33427169714388,-141.34019174590992,2022-03-02,2022-03-03,,
048-beaufort_sea-100km-2021-04-27,48,beaufort_sea,100km,-2212500.0,-2112500.0,162500.0,262500.0,-2162500.0,212500.0,70.13458850929605,-140.61220322932488,2021-04-27,2021-04-28,,
049-beaufort_sea-100km-2016-03-05,49,beaufort_sea,100km,-2237500.0,-2137500.0,162500.0,262500.0,-2187500.0,212500.0,69.91154473361784,-140.54846629371806,2016-03-05,2016-03-06,,
050-beaufort_sea-100km-2007-09-02,50,beaufort_sea,100km,-2012500.0,-1912500.0,112500.0,212500.0,-1962500.0,162500.0,71.96596819248917,-139.73343833057547,2007-09-02,2007-09-03,,
051-beaufort_sea-100km-2010-09-25,51,beaufort_sea,100km,-1462500.0,-1362500.0,62500.0,162500.0,-1412500.0,112500.0,76.9736565092582,-139.55376797915864,2010-09-25,2010-09-26,,
052-beaufort_sea-100km-2021-06-24,52,beaufort_sea,100km,-2162500.0,-2062500.0,37500.0,137500.0,-2112500.0,87500.0,70.6605071177479,-137.3718421897892,2021-06-24,2021-06-25,,
053-beaufort_sea-100km-2021-07-18,53,beaufort_sea,100km,-2087500.0,-1987500.0,12500.0,112500.0,-2037500.0,62500.0,71.34239041021729,-136.7569883099082,2021-07-18,2021-07-19,,
054-beaufort_sea-100km-2015-05-16,54,beaufort_sea,100km,-2187500.0,-2087500.0,12500.0,112500.0,-2137500.0,62500.0,70.44411551181435,-136.67483799052923,2015-05-16,2015-05-17,,
055-beaufort_sea-100km-2007-04-24,55,beaufort_sea,100km,-2187500.0,-2087500.0,-112500.0,-12500.0,-2137500.0,-62500.0,70.44411551181435,-133.32516200947077,2007-04-24,2007-04-25,,
056-beaufort_sea-100km-2022-05-23,56,beaufort_sea,100km,-2212500.0,-2112500.0,-137500.0,-37500.0,-2162500.0,-87500.0,70.21212906168073,-132.68293761412866,2022-05-23,2022-05-24,,
057-beaufort_sea-100km-2015-04-28,57,beaufort_sea,100km,-2137500.0,-2037500.0,-137500.0,-37500.0,-2087500.0,-87500.0,70.88490616936127,-132.59978553914337,2015-04-28,2015-04-29,,
058-beaufort_sea-100km-2019-08-08,58,beaufort_sea,100km,-1837500.0,-1737500.0,-162500.0,-62500.0,-1787500.0,-112500.0,73.5752989316775,-131.39872188277656,2019-08-08,2019-08-09,,
059-beaufort_sea-100km-2017-05-11,59,beaufort_sea,100km,-2162500.0,-2062500.0,-237500.0,-137500.0,-2112500.0,-187500.0,70.60219619376174,-129.92786712748548,2017-05-11,2017-05-12,,
060-beaufort_sea-100km-2019-03-19,60,beaufort_sea,100km,-2112500.0,-2012500.0,-262500.0,-162500.0,-2062500.0,-212500.0,71.02795656503653,-129.11755440990464,2019-03-19,2019-03-20,,
061-beaufort_sea-100km-2008-06-13,61,beaufort_sea,100km,-1587500.0,-1487500.0,-212500.0,-112500.0,-1537500.0,-162500.0,75.79807564804265,-128.9667469937993,2008-06-13,2008-06-14,,
062-beaufort_sea-100km-2011-06-08,62,beaufort_sea,100km,-2112500.0,-2012500.0,-287500.0,-187500.0,-2062500.0,-237500.0,71.003583622892,-128.43123587817888,2011-06-08,2011-06-09,,
063-beaufort_sea-100km-2007-07-11,63,beaufort_sea,100km,-1612500.0,-1512500.0,-237500.0,-137500.0,-1562500.0,-187500.0,75.54667811712906,-128.15722658736905,2007-07-11,2007-07-12,,
064-bering_chukchi_seas-100km-2015-07-16,64,bering_chukchi_seas,100km,-1587500.0,-1487500.0,912500.0,1012500.0,-1537500.0,962500.0,73.368234,-167.047235,2015-07-16,2015-07-17,0.56,0.455
065-bering_chukchi_seas-100km-2008-05-07,65,bering_chukchi_seas,100km,-2287500.0,-2187500.0,2062500.0,2162500.0,-2237500.0,2112500.0,62.13404812631506,-178.35402250243595,2008-05-07,2008-05-08,,
066-bering_chukchi_seas-100km-2011-03-19,66,bering_chukchi_seas,100km,-2312500.0,-2212500.0,2012500.0,2112500.0,-2262500.0,2062500.0,62.27074227899072,-177.3523703347078,2011-03-19,2011-03-20,,
067-bering_chukchi_seas-100km-2008-06-23,67,bering_chukchi_seas,100km,-1812500.0,-1712500.0,1437500.0,1537500.0,-1762500.0,1487500.0,68.94056570505809,-175.1634165542647,2008-06-23,2008-06-24,,
068-bering_chukchi_seas-100km-2015-03-20,68,bering_chukchi_seas,100km,-2362500.0,-2262500.0,1762500.0,1862500.0,-2312500.0,1812500.0,63.348725922335845,-173.08877288097534,2015-03-20,2015-03-21,,
069-bering_chukchi_seas-100km-2013-04-23,69,bering_chukchi_seas,100km,-2837500.0,-2737500.0,2112500.0,2212500.0,-2787500.0,2162500.0,58.23860957981134,-172.80376457091864,2013-04-23,2013-04-24,,
070-bering_chukchi_seas-100km-2012-06-07,70,bering_chukchi_seas,100km,-2637500.0,-2537500.0,1912500.0,2012500.0,-2587500.0,1962500.0,60.65389165183929,-172.17864789562506,2012-06-07,2012-06-08,,
071-bering_chukchi_seas-100km-2009-05-23,71,bering_chukchi_seas,100km,-2562500.0,-2462500.0,1787500.0,1887500.0,-2512500.0,1837500.0,61.824479163964654,-171.17962044797895,2009-05-23,2009-05-24,,
072-bering_chukchi_seas-100km-2008-04-18,72,bering_chukchi_seas,100km,-2912500.0,-2812500.0,1937500.0,2037500.0,-2862500.0,1987500.0,58.60837596513459,-169.77314229365865,2008-04-18,2008-04-19,,
073-bering_chukchi_seas-100km-2012-05-13,73,bering_chukchi_seas,100km,-2612500.0,-2512500.0,1687500.0,1787500.0,-2562500.0,1737500.0,61.96997611243771,-169.13918537836267,2012-05-13,2012-05-14,,
074-bering_chukchi_seas-100km-2013-08-17,74,bering_chukchi_seas,100km,-1587500.0,-1487500.0,962500.0,1062500.0,-1537500.0,1012500.0,73.12390299493046,-168.36636600105956,2013-08-17,2013-08-18,,
075-bering_chukchi_seas-100km-2012-05-23,75,bering_chukchi_seas,100km,-2537500.0,-2437500.0,1587500.0,1687500.0,-2487500.0,1637500.0,62.99920350261355,-168.3565685012383,2012-05-23,2012-05-24,,
076-bering_chukchi_seas-100km-2016-04-15,76,bering_chukchi_seas,100km,-2862500.0,-2762500.0,1637500.0,1737500.0,-2812500.0,1687500.0,60.37378491297163,-165.96375653207352,2016-04-15,2016-04-16,,
077-bering_chukchi_seas-100km-2018-07-23,77,bering_chukchi_seas,100km,-1687500.0,-1587500.0,912500.0,1012500.0,-1637500.0,962500.0,72.59554736559004,-165.44642720928746,2018-07-23,2018-07-24,,
078-bering_chukchi_seas-100km-2019-03-04,78,bering_chukchi_seas,100km,-2262500.0,-2162500.0,1237500.0,1337500.0,-2212500.0,1287500.0,66.68353780091617,-165.19601984372952,2019-03-04,2019-03-05,,
