label,area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length
1,93.0,27.387096774193548,353.40860215053766,35.55634918610404,12.970731365975018,9.750816915810944
2,114.0,34.578947368421055,270.780701754386,37.55634918610404,13.1012170465911,11.09043251220507
3,38.0,36.13157894736842,345.9736842105263,20.727922061357855,7.755601072509575,6.30659097113635
4,398.0,126.34422110552764,227.83417085427135,73.11269837220809,24.43695739111659,20.842959533255783
5,51.0,126.52941176470588,122.70588235294117,24.48528137423857,9.440519178369387,6.978134424179364
6,193.0,129.46113989637306,175.59585492227978,51.45584412271572,17.90888635669622,13.956709363365626
7,47.0,166.85106382978722,263.1914893617021,25.31370849898476,10.108688647835173,5.980504017833377
8,80.0,174.675,165.15,31.31370849898476,11.370668398863236,9.157395926959422
9,112.0,219.45535714285714,326.39285714285717,37.55634918610404,13.010615934218965,11.14551916700355
10,159.0,259.2830188679245,255.23270440251574,46.87005768508881,15.635033257537879,13.31340585059414
11,255.0,276.8627450980392,269.7803921568627,68.04163056034261,29.191310425568417,11.44339085136587
12,41.0,393.5609756097561,62.51219512195122,29.14213562373095,14.20751130334292,4.004494242950749
