label,area,centroid-0,centroid-1,perimeter,axis_major_length,axis_minor_length
1,185.0,22.124324324324323,63.383783783783784,50.62741699796952,17.041618379811457,14.207567497201007
2,65.0,27.661538461538463,76.63076923076923,28.14213562373095,10.529122125970865,7.989435423147939
3,295.0,176.36949152542374,92.89152542372881,68.8700576850888,24.449236949009393,16.615220459108805
4,272.0,184.1875,54.62867647058823,64.698484809835,22.276813598579558,16.41121319265259
5,434.0,192.82258064516128,34.13133640552996,83.11269837220809,33.11032394085478,17.078717130923508
6,93.0,185.33333333333334,174.61290322580646,39.55634918610404,16.13004272422742,7.7868921045043
7,48.0,185.04166666666666,80.52083333333333,25.65685424949238,11.323271207662936,5.454246688176959
8,346.0,214.73121387283237,77.69364161849711,67.94112549695429,21.98054316154487,20.217927027039764
9,430.0,295.9767441860465,40.669767441860465,93.94112549695427,36.15153282314129,17.04390095842989
10,196.0,347.0357142857143,130.78061224489795,50.87005768508881,16.520562016132796,15.388669174406326
11,227.0,361.7488986784141,159.352422907489,60.04163056034261,22.755554506747036,13.215901189795135
12,631.0,382.9889064976228,118.75435816164818,98.5685424949238,34.697014874415366,23.533618700724013
13,108.0,372.3425925925926,152.85185185185185,39.55634918610404,14.576950942679808,9.765116197772338
